Run	ID	LB	PL	SM	PU
SRR10740739	19-037946-Calf112-3-15-2012	19-037946-Calf112-3-15-2012	ILLUMINA	19-037946-Calf112-3-15-2012	1
SRR10740740	19-037946-Calf703-8-8-2017	19-037946-Calf703-8-8-2017	ILLUMINA	19-037946-Calf703-8-8-2017	1
SRR10740741	19-037946-Cow318E2016	19-037946-Cow318E2016	ILLUMINA	19-037946-Cow318E2016	1
SRR10740742	19-037946-AUVER19-1	19-037946-AUVER19-1	ILLUMINA	19-037946-AUVER19-1	1
SRR10740743	19-037946-AUCVM16-178	19-037946-AUCVM16-178	ILLUMINA	19-037946-AUCVM16-178	1
SRR10740744	19-037946-AUCVM16-5	19-037946-AUCVM16-5	ILLUMINA	19-037946-AUCVM16-5	1
SRR10740745	19-037946-AUCVM15-155	19-037946-AUCVM15-155	ILLUMINA	19-037946-AUCVM15-155	1
SRR10740746	19-037946-AUCVM15-107	19-037946-AUCVM15-107	ILLUMINA	19-037946-AUCVM15-107	1
SRR10740747	19-037946-AUCVM14-257	19-037946-AUCVM14-257	ILLUMINA	19-037946-AUCVM14-257	1
SRR10740748	19-037946-AUCVM14-126	19-037946-AUCVM14-126	ILLUMINA	19-037946-AUCVM14-126	1
