Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sub_species,serovar,Isolation_source,collected_by,Host_disease,Lat_Lon,sample_type,strain,serotype
SRR10437584,WGS,431,913272320,PRJNA548885,SAMN13279820,Pathogen.cl,552176384,USDA-NVSL-DBL,not collected,public,"realign,wgmlst_sig,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7133360,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123228c,19-029961-19-123228c,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Enteritidis,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123228c,SRP201758,enterica,Enteritidis,Raw pet food,not collected,not collected,not collected,,,
SRR10437585,WGS,430,533285117,PRJNA548885,SAMN13279819,Pathogen.cl,332785182,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7133359,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123228b,19-029961-19-123228b,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Enteritidis,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123228b,SRP201758,enterica,Enteritidis,Raw pet food,not collected,not collected,not collected,,,
SRR10437586,WGS,428,903464173,PRJNA548885,SAMN13279818,Pathogen.cl,539516919,USDA-NVSL-DBL,not collected,public,"fastq,sra,realign,wgmlst_sig","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7133358,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123218x,19-029961-19-123218x,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Kentucky,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123218x,SRP201758,enterica,Kentucky,Raw pet food,not collected,not collected,not collected,,,
SRR10437587,WGS,433,1004123517,PRJNA548885,SAMN13279817,Pathogen.cl,599882268,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,fastq,realign,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7133357,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123218a,19-029961-19-123218a,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123218a,SRP201758,enterica,Infanits,Raw pet food,not collected,not collected,not collected,,,
SRR10437588,WGS,428,908764734,PRJNA548885,SAMN13279816,Pathogen.cl,542924536,USDA-NVSL-DBL,not collected,public,"fastq,realign,sra,wgmlst_sig","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7133356,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123216d,19-029961-19-123216d,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Kentucky,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123216d,SRP201758,enterica,Kentucky,Raw pet food,not collected,not collected,not collected,,,
SRR10437589,WGS,437,928485491,PRJNA548885,SAMN13279815,Pathogen.cl,558637763,USDA-NVSL-DBL,not collected,public,"sra,realign,wgmlst_sig,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7133355,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123216c,19-029961-19-123216c,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Kentucky,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123216c,SRP201758,enterica,Kentucky,Raw pet food,not collected,not collected,not collected,,,
SRR10437590,WGS,426,1204588726,PRJNA548885,SAMN13279814,Pathogen.cl,710887327,USDA-NVSL-DBL,not collected,public,"fastq,realign,sra,wgmlst_sig","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7133354,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123213x,19-029961-19-123213x,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123213x,SRP201758,enterica,Muenster,Raw pet food,not collected,not collected,not collected,,,Muenster
SRR10437591,WGS,429,1064610310,PRJNA548885,SAMN13279813,Pathogen.cl,645674205,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,fastq,realign","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7133353,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123213a,19-029961-19-123213a,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Reading,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123213a,SRP201758,enterica,Reading,Raw pet food,not collected,not collected,not collected,,,
SRR10437592,WGS,427,928764839,PRJNA548885,SAMN13279812,Pathogen.cl,545781733,USDA-NVSL-DBL,not collected,public,"fastq,wgmlst_sig,sra,realign","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7133352,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123212d,19-029961-19-123212d,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Enteritidis,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123212d,SRP201758,enterica,Enteritidis,Raw pet food,not collected,not collected,not collected,,,
SRR10437593,WGS,425,984300490,PRJNA548885,SAMN13279811,Pathogen.cl,567303025,USDA-NVSL-DBL,not collected,public,"sra,realign,fastq,wgmlst_sig","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7133351,uncalculated,uncalculated,not collected,Bovine,Illumina MiSeq,19-029961-19-123212c,19-029961-19-123212c,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Kentucky,ILLUMINA,2019-11-14T00:00:00Z,19-029961-19-123212c,SRP201758,enterica,Kentucky,Raw pet food,not collected,not collected,not collected,,,
SRR9925514,WGS,438,257702606,PRJNA548885,SAMN12531023,Pathogen.cl,175452113,USDA-NVSL-DBL,not collected,public,"sra,fastq,realign,wgmlst_sig","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6674499,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-012215-001,18-012215-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-08-08T00:00:00Z,18-012215-001,SRP201758,enterica,,not collected,not collected,not collected,not collected,,not collected,London
SRR9925515,WGS,445,470730906,PRJNA548885,SAMN12531022,Pathogen.cl,256370633,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,fastq,realign","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6674498,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-009644-001,18-009644-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-009644-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925516,WGS,457,402979218,PRJNA548885,SAMN12531017,Pathogen.cl,215210484,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,fastq,realign,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6674497,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-004041-001,18-004041-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-004041-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925517,WGS,442,620130491,PRJNA548885,SAMN12531016,Pathogen.cl,338788375,USDA-NVSL-DBL,not collected,public,"sra,realign,fastq,wgmlst_sig","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6674496,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,17-042160-001,17-042160-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,17-042160-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925518,WGS,442,498143022,PRJNA548885,SAMN12531015,Pathogen.cl,274959972,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,fastq,realign","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6674495,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,17-042159-001,17-042159-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,17-042159-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925519,WGS,442,548862054,PRJNA548885,SAMN12531014,Pathogen.cl,294108564,USDA-NVSL-DBL,not collected,public,"realign,sra,fastq,wgmlst_sig","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6674494,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,17-042156-001,17-042156-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,17-042156-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925520,WGS,447,531472322,PRJNA548885,SAMN12531021,Pathogen.cl,294505768,USDA-NVSL-DBL,not collected,public,"sra,fastq,realign,wgmlst_sig","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6674493,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-009368-001,18-009368-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-009368-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925521,WGS,442,306690013,PRJNA548885,SAMN12531020,Pathogen.cl,205301201,USDA-NVSL-DBL,not collected,public,"fastq,realign,wgmlst_sig,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6674492,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-008413-001,18-008413-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-008413-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925522,WGS,456,500744707,PRJNA548885,SAMN12531019,Pathogen.cl,278411823,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,realign,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6674491,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-008060-001,18-008060-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-008060-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925523,WGS,456,492327465,PRJNA548885,SAMN12531018,Pathogen.cl,270910888,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,fastq,realign","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6674490,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-004719-001,18-004719-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-004719-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925524,WGS,447,347476438,PRJNA548885,SAMN12531034,Pathogen.cl,189764176,USDA-NVSL-DBL,not collected,public,"realign,wgmlst_sig,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6674489,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-044194-001,18-044194-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,18-044194-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925525,WGS,410,325874904,PRJNA548885,SAMN12531035,Pathogen.cl,177717640,USDA-NVSL-DBL,not collected,public,"realign,fastq,sra,wgmlst_sig","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6674488,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,19-002945-001,19-002945-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-08-08T00:00:00Z,19-002945-001,SRP201758,enterica,,not collected,not collected,not collected,not collected,,not collected,"4\,[5]\,12:i:-"
SRR9925526,WGS,417,288369837,PRJNA548885,SAMN12531036,Pathogen.cl,158600450,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,fastq,realign","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6674487,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,19-005952-001,19-005952-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,19-005952-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925527,WGS,422,290317456,PRJNA548885,SAMN12531037,Pathogen.cl,159759087,USDA-NVSL-DBL,not collected,public,"realign,wgmlst_sig,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6674486,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,19-011135-001,19-011135-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,19-011135-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925528,WGS,447,266802438,PRJNA548885,SAMN12531033,Pathogen.cl,183970735,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,fastq,realign","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6674485,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-044190-001,18-044190-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-044190-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925529,WGS,431,304850596,PRJNA548885,SAMN12531032,Pathogen.cl,204580664,USDA-NVSL-DBL,not collected,public,"fastq,sra,wgmlst_sig,realign","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6674484,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-043130-001,18-043130-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-043130-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925530,WGS,458,369672808,PRJNA548885,SAMN12531025,Pathogen.cl,198163426,USDA-NVSL-DBL,not collected,public,"realign,fastq,sra,wgmlst_sig","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6674483,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-026128-001,18-026128-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-026128-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925531,WGS,450,312425071,PRJNA548885,SAMN12531024,Pathogen.cl,173051441,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,realign,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6674482,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-025461-001,18-025461-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,18-025461-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925532,WGS,446,419193995,PRJNA548885,SAMN12531027,Pathogen.cl,224075221,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6674481,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-028675-001,18-028675-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-028675-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
SRR9925533,WGS,453,310274308,PRJNA548885,SAMN12531026,Pathogen.cl,184672287,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,fastq,realign","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6674480,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-026952-001,18-026952-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-08-08T00:00:00Z,18-026952-001,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9925534,WGS,443,552046952,PRJNA548885,SAMN12531029,Pathogen.cl,302643486,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,realign,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6674479,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-035156-001,18-035156-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-035156-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9925535,WGS,436,394959860,PRJNA548885,SAMN12531028,Pathogen.cl,214091531,USDA-NVSL-DBL,not collected,public,"fastq,sra,realign,wgmlst_sig","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6674478,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-028687-001,18-028687-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Infantis,ILLUMINA,2019-08-08T00:00:00Z,18-028687-001,SRP201758,enterica,Infanits,not collected,not collected,not collected,not collected,,not collected,
